2668	120	8	9.1
628	859	4	12.27
2193	263	5	17.32
1123	15987	3	36.49
2892	241	3	8.36
4205	175	3	7.14
393	171	31	66.79
7651	12	8	8.81
1098	210	7	15.48
1097	587	3	8.57
2084	116	11	14.36
1574	668	3	10.86
1305	143	9	11.3
101	2403	27	9.4
209	17654	3	25.02
1691	1468	3	16.42
598	119	22	7.27
2648	123	7	7.81
101	310	183	11.2
1722	504	4	16.36
12	673	85	11.37
514	1565	3	9.89
16	5343	5	12.96
1749	8224	4	42.83
575	6	8	22.93
480	1531	3	9.14
9462	114	4	10.73
3611	2275	3	24.28
270	8763	3	18.02
5640	13809	4	64.1
1088	124	14	11.39
2464	102	31	54.73
12	7084	9	9.92
1439	12	42	9.69
933	1603	3	13.6
14104	111	3	7.45
416	878	4	10.54
10868	103	5	9.14
105	3983	18	38.96
1305	928	3	12
2259	112	21	42.67
131	295	38	22.99
219	4162	3	10.4
1621	212	4	7.39
104	1878	24	6.77
1112	638	4	14.15
101	1020	61	13.71
969	259	5	9.61
456	196	10	11.19
360	1359	3	7.15
4674	172	4	12.4
6917	4746	8	128.55
2535	441	7	39.88
153	5575	4	13.24
718	934	3	8.63
721	538	4	9.67
149	300	22	12.53
181	1565	7	14.58
2704	117	11	20.72
1167	2411	3	17.35
1080	8919	3	26.69
3337	192	3	7.18
870	804	3	8.99
139	9471	3	10.96
1005	325	6	16.59
1544	1333	3	15.02
1387	3274	6	52.69
524	1475	11	64.1
212	1745	6	17.3
153	118	110	7.78
184	1244	8	15.08
13	129	45	14.66
5771	182	3	9.47
1451	5559	4	35.46
4087	358	3	14.66
1056	635	3	8.74
384	464	6	10.58
961	196	8	15.47
358	363	13	37.55
1302	602	4	14.79
128	2606	7	9.97
157	1239	7	9.52
159	512	13	12.46
129	864	27	58.03
105	213	169	6.83
4181	235	17	148.85
312	1793	3	7.37
2169	208	5	14.18
128	961	19	25.76
605	676	12	55.75
104	735	59	15.37
103	124	1022	39.67
101	1665	42	27.13
418	6710	10	102.54
3524	18018	3	44.35
3965	177	3	6.72
286	5549	3	15.17
959	108	34	26.54
358	707	5	11.42
3009	112	9	8.01
13378	129	4	23.88
123	2040	8	6.76
148	1318	7	7.39
1994	111	12	7.71
1546	3487	3	21.71
110	11028	5	19.48
262	409	21	62.65
1347	239	4	7.09
169	170	38	11.77
7989	676	3	22.81
106	1657	23	7.99
507	905	4	10.94
538	1296	4	14.17
106	5639	12	28.87
1590	1687	4	25.34
11441	141	3	12.6
5072	110	6	6.71
1397	360	3	7.25
214	8694	7	59.16
114	498	39	29.5
131	15461	3	16.97
681	229	9	17.84
146	214	29	7.23
106	17461	3	7.21
748	845	3	9.05
978	105	53	33.49
7175	2099	4	41.91
1491	420	3	8.94
1424	240	5	11.49
8295	104	6	11.83
5128	104	11	12.39
2001	189	4	7.05
8232	1253	7	88.1
403	338	7	10.57
4012	112	8	10.2
17858	110	3	11.69
3116	271	3	9.79
206	807	6	7.55
618	1127	4	13.83
145	489	16	11.2
1163	487	6	23.91
236	2661	3	7.89
1191	507	3	8.15
144	126	532	1425.36
2787	104	25	41.76
205	2789	3	6.72
264	382	7	8.01
1018	229	5	8.24
108	5670	9	18.81
106	5901	7	8.73
473	130	19	10.15
474	3487	3	15.23
854	1491	6	34.2
1975	975	4	22.52
7148	105	7	7.27
3572	2920	3	26.84
9786	102	6	10.59
287	242	13	14.48
106	3299	13	7.93
8760	104	6	7.02
227	418	9	9.92
3806	101	19	19.79
137	740	12	7.34
134	121	216	63.17
1152	119	16	12.19
772	2949	3	16.23
877	9667	3	26.66
195	155	33	13.01
6994	126	4	9.86
121	11814	3	8.11
123	10558	3	8.99
18348	750	3	34.31
473	1834	3	10.29
1078	727	4	15.26
8371	994	5	51.62
153	9794	3	12.27
345	564	141	1471.15
854	995	4	16.43
106	2738	15	8.51
766	382	4	9.11
229	748	10	23.58
224	1406	6	14.59
643	126	17	7.73
140	674	12	7.77
163	323	15	7.85
108	269	81	15.65
9620	123	3	8.99
106	1028	41	24.41
109	400	73	50.34
107	632	40	13.83
1392	176	7	11.91
101	8448	7	7.29
147	6194	3	7.35
17801	367	3	29.84
684	784	7	29.29
1254	103	40	16.12
9927	6073	6	99.05
779	261	5	7.6
295	183	14	7.24
118	668	21	10.46
57	1227	17	13.4
58	297	51	19.89
2695	215	3	7.09
2277	2098	4	29.72
297	152	23	17.47
882	328	4	7.48
2410	764	3	14.9
463	12	127	27.25
10851	105	5	10.82
8902	147	3	10.37
3057	547	3	14.83
766	692	3	7.77
2813	1594	3	19.8
1789	410	4	15.22
1153	6	3	7.49
572	1132	3	8.27
381	2163	5	21.97
1591	403	3	8.54
409	194	10	8.98
5586	109	6	7.11
6606	111	6	11.07
3505	101	21	21.88
396	906	6	18.4
425	119	29	9.95
1329	165	6	8.16
242	1422	6	15.41
110	12787	3	7.49
661	113	23	6.7
275	3307	3	10.76
119	253	47	7.39
623	7	6	6.91
421	124	30	18.22
12	8229	7	7.71
3040	8	5	9.69
991	526	3	7.24
543	1031	3	7.77
280	2921	3	10.04
12	1503	41	10.42
17195	166	3	21.72
162	459	27	56.01
2679	112	11	11.46
11276	1448	5	63.68
145	13216	4	25.86
104	281	136	11.15
101	1211	46	7.97
250	3523	14	99.85
2643	101	29	30.21
605	103	67	8.31
159	240	26	16.74
130	1776	11	18.43
2870	1937	9	93.75
103	3050	17	9.28
104	2398	21	10.49
189	3170	4	10.76
7156	264	3	15.81
6682	157	3	9.84
101	7808	8	8.33
1722	5844	5	50.94
1054	113	19	12.77
1265	595	3	9.48
150	1493	7	8.58
1644	12	36	8.68
275	4145	4	18.55
6823	8182	6	97.01
585	250	6	7.01
396	2517	3	11.45
11521	111	4	10.83
584	390	5	9.18
973	434	4	10.53
1380	128	10	9.04
873	446	7	24.27
3431	131	5	7.18
341	221	10	9.61
243	2373	3	7.36
148	196	49	35.77
626	684	6	20.7
720	464	4	8.63
211	141	33	8.9
124	743	19	13.41
3138	1	5	20.38
487	2773	3	13.02
253	3214	3	9.5
103	1273	35	7.4
191	144	47	21.77
130	199	49	14.25
157	920	9	12.86
313	216	12	11.5
249	428	11	19.75
9875	348	3	20.84
864	129	27	58.03
485	171	10	6.77
13973	105	4	8.65
1022	336	5	13.33
5146	16	6	18.11
387	725	4	7.5
416	425	13	44.32
15587	16256	3	61.26
417	2403	3	11.15
313	6648	3	16.4
1568	194	50	405.85
453	2745	5	26.95
104	1437	33	13.5
157	151	271	971.29
218	3205	3	8.17
223	663	6	7
2841	1464	3	20.17
9026	145	7	45.28
1047	13644	4	48.15
905	507	4	10.94
902	903	4	15.77
2407	1536	3	19.95
966	204	7	13.03
3425	222	3	8.8
123	2556	8	10.27
184	21	45	18.2
148	872	9	6.85
209	171	24	10.43
3225	17981	3	43.74
396	8160	3	23.71
121	9897	3	6.71
346	623	7	16.32
1912	132	7	7.83
893	130	12	8.98
892	510	3	6.83
566	111	39	18.54
106	4807	9	6.97
106	571	58	9.29
1731	240	4	8.73
1219	185	8	15.04
227	3213	3	8.58
645	418	4	7.26
6091	1587	7	77.77
102	11480	5	8.82
400	317	15	40.92
401	448	6	11.29
1587	3283	3	22.36
464	1018	4	11.16
270	269	11	12.53
2185	2586	9	88.22
2373	319	5	22.16
232	426	21	59.94
143	12	791	31.41
1193	144	19	47.1
1735	245	7	23.77
777	3668	3	17.64
18049	107	3	10.23
17022	109	3	10.79
269	665	7	13.55
327	1150	4	9.03
1671	253	4	9.28
196	17420	3	24.5
114	1401	13	7.55
711	704	3	6.92
3172	109	9	6.65
6219	16	3	6.84
7209	165	3	10.88
2433	16456	3	41.55
1904	138	6	6.86
6153	209	3	13.02
1574	11036	5	64.28
106	754	45	11.45
108	474	40	8.08
109	106	1723	59
166	928	9	12.41
136	3421	5	8.36
8731	58	5	15.29
229	1018	5	8.24
1464	428	3	8.74
120	10238	3	6.83
1465	305	4	10.28
229	4230	3	10.83
957	126	15	12.12
919	202	6	8.84
1400	618	3	9.92
379	218	9	7.98
5075	114	5	6.88
2456	265	3	8.05
477	554	9	28.66
3064	463	3	13.42
539	484	4	7.65
2580	104	27	53.25
3508	2402	21	305.91
1214	454	3	7.92
1052	6028	3	23.3
168	232	31	29.1
7989	103	8	14.63
167	2340	5	9.85
260	2	38	7.85
288	130	58	77.65
411	590	5	9.88
193	4676	4	15.15
3031	13	4	12.02
204	3924	3	9.03
330	170	23	27.32
106	18616	3	7.21
839	626	4	12.12
207	461	9	9.43
116	1595	15	20.42
1074	12	52	7.47
11530	103	5	9.14
5513	1589	11	143.85
1426	545	3	9.32
595	3602	3	15.95
14532	104	4	7.88
1102	111	19	7.4
1189	333	4	9.26
111	4997	6	6.65
3123	874	7	54.18
573	689	10	42.91
1051	1442	5	27.3
1215	245	6	14.84
4887	470	3	16.92
324	2615	3	9.95
136	415	19	9.05
134	679	13	8.03
4824	177	3	8.2
1608	10053	6	78.58
4189	131	5	11.13
259	827	5	8.06
4791	664	4	28.6
477	2185	3	11.25
410	1789	4	15.22
380	376	6	8.61
857	102	69	48.4
538	139	14	7.97
989	263	5	9.58
474	965	3	7.13
5340	126	4	6.74
677	1139	3	9.78
641	1151	3	9.15
139	164	56	11.91
200	57	137	113.45
109	133	349	40.66
110	3486	8	7.25
1827	110	13	8.51
833	578	6	22.36
532	858	7	26.32
1488	3794	3	21.92
17800	479	3	31.73
434	244	7	6.95
114	8100	4	9.03
11464	104	5	9.86
102	13779	4	7.06
147	3323	4	6.7
329	1906	3	8.24
295	406	12	26.92
1291	337	3	6.77
780	893	3	9
3172	130	5	7.11
205	1287	6	12.15
3206	165	5	13.56
142	814	12	11.82
104	13874	4	7.88
843	478	4	9.9
235	1092	9	25.71
1317	378	3	6.81
808	195	7	9.28
711	2372	3	14.9
711	402	4	7.63
109	18138	3	10.79
1519	114	13	8.9
4459	787	3	19.08
8232	104	7	13.8
3981	106	18	43.31
1968	148	7	11.78
